CD_CLIENTE;DS_PROD_MODA;DS_LIN_REC_MODA;CIDADE;DS_CNAE;DS_SEGMENTO;DS_SUBSEGMENTO;MARCA_TOTVS_MODA;MODAL_COMERC_MODA;PAIS;PERIODICIDADE_MODA;UF;VL_TOTAL_CONTRATO_SOMA;FAIXA_VLR_TOT_SOMA_CONTRATOS;DIAS_CLIENTE;QTD_CONTRATACOES_12M;VLR_CONTRATACOES_12M;CLUSTER_3;CLUSTER_4;CLUSTER_5;CLUSTER_6;resposta_NPS;resposta_unidade;Nota_SupTec_Agilidade;Nota_SupTec_Atendimento;Nota_Comercial;Nota_Custos;Nota_AdmFin_Atendimento;Nota_Software;Nota_Software_Atualizacao
TFDIND;TOTVS PLANEJAMENTO DE ROTAS;SAAS SERIE T;MOGIDASCRUZES;PESSOA FISICA (SEM CNAE);EDUCACIONAL;EDUCACAO CONTINUADA;OTIMIZACAO LOGISTICA;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;1,19;0.0-0.5M;942;0,0;0,0;2;0;3;2;;;;;;;;;
TFDIO4;SMS USUARIO RETAGUARDA WT;CDU TOTVS SERIE T;CURITIBA;Comercio varejista de ferragens e ferramentas;VAREJO;MATERIAL DE CONSTRUCAO;DISTRIBUICAO & VAREJO - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;PR;17504,52;0.0-0.5M;939;7,0;6519,62;2;0;3;2;8,0;8,0;8,0;10,0;8,0;5,0;9,0;8,0;10,0
TFDIPE;LOCACAO DE SOFTW VIRTUAL PDV;SAAS SERIE T;RIBEIRAOPRETO;Comercio varejista de artigos do vestuario e acessorios;VAREJO;MODA;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;171,76;0.0-0.5M;937;0,0;0,0;2;0;3;2;9,0;9,0;7,0;8,0;8,0;7,0;8,0;8,0;7,0
TFDIPM;CONCILIADOR DE CARTOES TOTVS;SAAS TEF;MANAUS;Comercio varejista de ferragens e ferramentas;VAREJO;MATERIAL DE CONSTRUCAO;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;AM;198,32;0.0-0.5M;937;0,0;0,0;2;0;3;2;;;;;;;;;
TFDIPN;TOTVS PLANEJAMENTO DE ROTAS;SAAS SERIE T;SAOPAULO;PESSOA FISICA (SEM CNAE);EDUCACIONAL;EDUCACAO CONTINUADA;OTIMIZACAO LOGISTICA;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;1,19;0.0-0.5M;934;0,0;0,0;2;0;3;2;;;;;;;;;
TFDIPZ;LICENCA CNPJ DISTRIBUIDOR WT;CDU TOTVS SERIE T;BELEM;Comercio atacadista de produtos de higiene pessoal;DISTRIBUICAO;ATACADISTA E DISTRIBUIDOR;DISTRIBUICAO & VAREJO - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;PA;1989,18;0.0-0.5M;934;0,0;0,0;2;0;3;2;8,0;9,0;6,0;7,0;7,0;7,0;10,0;7,0;8,0
TFDIQL;ADESAO DE MODALIDADE;CDU BEMATECH;OSASCO;Comercio varejista de produtos alimenticios em geral ou especializado em produtos alimenticios nao especificados anteriormente;VAREJO;SUPERMERCADO;MICRO E PEQUENOS NEGOCIOS;MPN;105;00 - Mensal;SP;246,68;0.0-0.5M;933;0,0;0,0;2;0;3;2;;;;;;;;;
TFDIQT;TOTVS INTERA MANUFATURA;SAAS INTERA SOFTWARE;LONDRINA;Fabricacao de produtos diversos nao especificados anteriormente;MANUFATURA;BENS DURAVEIS;BACKOFFICE - CORE;MODALIDADE ASSINATURA (INTERA);105;00 - Mensal;PR;15621,85;0.0-0.5M;934;1,0;375,52;2;0;3;2;;;;;;;;;
TFDIR1;CLDINT STD PROT CNXAD LX SQL;CLOUD COMPUTING.;APUCARANA;Fabricacao de maquinas e equipamentos para a agricultura e pecuaria, pecas e acessorios, exceto para irrigacao;MANUFATURA;BENS DE CAPITAL;CLOUD;MODALIDADE SERVICOS RECORRENTES;105;00 - Mensal;PR;5335,99;0.0-0.5M;933;6,0;4225,81;2;0;3;2;;;;;;;;;
TFDIR5;ADD-ON WEBSERVICES INTERA;SAAS INTERA SOFTWARE;CRISTALINA;Cultivo de soja;AGROINDUSTRIA;PRODUCAO DE CULTIVOS;BACKOFFICE - CORE;MODALIDADE ASSINATURA (INTERA);105;00 - Mensal;GO;123700,47;0.0-0.5M;933;0,0;0,0;2;0;3;2;8,0;9,0;8,0;8,0;8,0;8,0;8,0;9,0;8,0
TFDIRC;MNT SOFTWARE MISTERCHEF NET;CDU BEMATECH;SANTABARBARADOESTE;Comercio varejista de bebidas;VAREJO;SUPERMERCADO;MICRO E PEQUENOS NEGOCIOS;MPN;105;00 - Mensal;SP;958,7;0.0-0.5M;933;0,0;0,0;2;0;3;2;;;;;;;;;
TFDIRF;ADESAO VA PLUS;CDU TOTVS SERIE T;SALVADOR;Comercio varejista de artigos de papelaria;VAREJO;MAGAZINE E LOJA DE DEPARTAMENTOS;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;BA;13783,03;0.0-0.5M;933;0,0;0,0;2;0;3;2;;;;;;;;;
TFDIRI;CLOUD EXCEDENTE TRAD;SAAS INTERA SOFTWARE;BAURU;Construcao de rodovias e ferrovias;CONSTRUCAO E PROJETOS;CONSTRUTORAS;RH - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;52108,34;0.0-0.5M;933;5,0;12658,36;2;0;3;2;;;;;;;;;
TFDIRX;CONS SAT OU MFE BALANC SUBSC;SAAS SERIE T;SAOJOSEDORIOPRETO;Comercio varejista de cosmeticos, produtos de perfumaria e de higiene pessoal;VAREJO;DROGARIA;SUPERMERCADOS - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;524,34;0.0-0.5M;933;0,0;0,0;2;0;3;2;;;;;;;;;
TFDISA;SMS USUARIO RETAGUARDA WT;CLOUD COMPUTING.;ARAQUARI;Comercio atacadista de artigos de escritorio e de papelaria;DISTRIBUICAO;ATACADISTA E DISTRIBUIDOR;DISTRIBUICAO & VAREJO - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SC;113066,5;0.0-0.5M;1102;8,0;19647,59;2;0;3;2;;;;;;;;;
TFDISF;ADD-ON WEBSERVICES INTERA;SAAS INTERA SOFTWARE;SAOROQUE;Fabricacao de vinho;MANUFATURA;BENS DE CONSUMO;BACKOFFICE - CORE;MODALIDADE ASSINATURA (INTERA);105;00 - Mensal;SP;12774,56;0.0-0.5M;933;2,0;1169,49;2;0;3;2;;;;;;;;;
TFDISJ;ADESAO INTERA B.O M;SAAS INTERA SOFTWARE;CASTELO;Aparelhamento de pedras para construcao, exceto associado … extracao;MANUFATURA;EXTRATIVISTA & BENEFICIAMENTO;BACKOFFICE - CORE;MODALIDADE ASSINATURA (INTERA);105;00 - Mensal;ES;21563,58;0.0-0.5M;933;0,0;0,0;2;0;3;2;10,0;10,0;2,0;2,0;10,0;1,0;2,0;10,0;10,0
TFDISP;LICENCA CNPJ DISTRIBUIDOR WT;CDU TOTVS SERIE T;BETIM;Comercio a varejo de pecas e acessorios novos para veiculos automotores;VAREJO;CONCESSIONARIA DE VEICULOS;DISTRIBUICAO & VAREJO - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;11273,78;0.0-0.5M;933;0,0;0,0;2;0;3;2;;;;;;;;;
TFDIT8;ADESAO INTERA B.O M;CDU PLATAFORMA TOTVS INTERA SO;LOUVEIRA;Fabricacao de artefatos de material plastico para outros usos nao especificados anteriormente;MANUFATURA;METAL-MECANICO & PLASTICO;BACKOFFICE - CORE;MODALIDADE ASSINATURA (INTERA);105;00 - Mensal;SP;6765,04;0.0-0.5M;932;0,0;0,0;2;0;3;2;8,0;9,0;9,0;9,0;10,0;7,0;7,0;9,0;7,0
TFDITE;ADESAO PLAT R&F LOJA;SAAS SERIE T;LEME;Comercio varejista de cosmeticos, produtos de perfumaria e de higiene pessoal;VAREJO;DROGARIA;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;805,26;0.0-0.5M;932;0,0;0,0;2;0;3;2;;;;;;;;;
TFDITP;ADESAO PLAT R&F LOJA;SAAS SERIE T;VILHENA;Comercio varejista de cosmeticos, produtos de perfumaria e de higiene pessoal;VAREJO;DROGARIA;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RO;551,19;0.0-0.5M;931;0,0;0,0;2;0;3;2;;;;;;;;;
TFDIUF;CLOUD EXCEDENTE TRAD;CDU TOTVS SERIE T;APARECIDADEGOIANIA;Comercio atacadista de cosmeticos e produtos de perfumaria;VAREJO;VAREJO;DISTRIBUICAO & VAREJO - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;GO;7142,02;0.0-0.5M;930;0,0;0,0;2;0;3;2;;;;;;;;;
TFDIUJ;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;GOIANIA;Fabricacao de embalagens de material plastico;MANUFATURA;METAL-MECANICO & PLASTICO;PROGRESS;MODALIDADE TRADICIONAL;105;00 - Mensal;GO;26420,28;0.0-0.5M;930;1,0;148,74;2;0;3;2;9,0;9,0;9,0;9,0;9,0;8,0;9,0;9,0;9,0
TFDIUN;MNT SOFTWARE MISTERCHEF NET;SAAS BEMATECH;GOIANIA;Restaurantes e similares;SERVICOS;VIAGENS;MICRO E PEQUENOS NEGOCIOS;MPN;105;00 - Mensal;GO;342,27;0.0-0.5M;926;0,0;0,0;2;0;3;2;;;;;;;;;
TFDIUW;ADD-ON WEBSERVICES INTERA;SAAS INTERA SOFTWARE;SANTOANDRE;Fabricacao de outros produtos de metal nao especificados anteriormente;MANUFATURA;BENS DE CAPITAL;BACKOFFICE - CORE;MODALIDADE ASSINATURA (INTERA);105;00 - Mensal;SP;6342,75;0.0-0.5M;926;0,0;0,0;2;0;3;2;6,0;6,0;3,0;6,0;6,0;3,0;6,0;5,0;6,0
TFDIV2;ADESAO DE MODALIDADE;CDU BEMATECH;FLORIANOPOLIS;Lanchonetes, casas de cha, de sucos e similares;SERVICOS;VIAGENS;MICRO E PEQUENOS NEGOCIOS;MPN;105;00 - Mensal;SC;394,03;0.0-0.5M;926;0,0;0,0;2;0;3;2;;;;;;;;;
TFDIVV;BMCHEF WEB 1USM;CDU BEMATECH;BRASILIA;Suporte tecnico, manutencao e outros servicos em tecnologia da informacao;SERVICOS;PROVEDOR SERVICOS;MICRO E PEQUENOS NEGOCIOS;MPN;105;00 - Mensal;DF;627,38;0.0-0.5M;812;3,0;592,21;2;0;3;2;10,0;8,0;8,0;9,0;9,0;10,0;8,0;10,0;8,0
TFDIWB;TOTVS PLANEJAMENTO DE ROTAS;SAAS SERIE T;SAOPAULO;PESSOA FISICA (SEM CNAE);EDUCACIONAL;EDUCACAO CONTINUADA;OTIMIZACAO LOGISTICA;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;1,19;0.0-0.5M;924;0,0;0,0;2;0;3;2;;;;;;;;;
TFDIYX;PLANO ESSENCIAL SISTEMA VELTI;SAAS SERIE T;SAOSEBASTIAODOPARAISO;Atividades de organizacoes associativas patronais e empresariais;SERVICOS;PROVEDOR SERVICOS;RH - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;MG;79,28;0.0-0.5M;1340;0,0;0,0;2;0;3;2;;;;;;;;;
TFDIZ9;LICENCA CNPJ DISTRIBUIDOR WT;CDU TOTVS SERIE T;VILAVELHA;Comercio atacadista especializado em outros produtos alimenticios nao especificados anteriormente;DISTRIBUICAO;ATACADISTA E DISTRIBUIDOR;DISTRIBUICAO & VAREJO - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;ES;2370,51;0.0-0.5M;919;0,0;0,0;2;0;3;2;;;;;;;;;
TFDIZN;BMCHEF COMANDAS;CDU BEMATECH;BELOHORIZONTE;Lanchonetes, casas de cha, de sucos e similares;SERVICOS;VIAGENS;MICRO E PEQUENOS NEGOCIOS;MPN;105;00 - Mensal;MG;248,89;0.0-0.5M;918;0,0;0,0;2;0;3;2;;;;;;;;;
TFDIZQ;SMS USUARIO RETAGUARDA WT;CDU TOTVS SERIE T;TERESINA;Comercio atacadista de instrumentos e materiais para uso medico, cirurgico, hospitalar e de laboratorios;LOGISTICA;ATACADISTA E DISTRIBUIDOR;DISTRIBUICAO & VAREJO - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;PI;11222,24;0.0-0.5M;918;1,0;3716,33;2;0;3;2;;;;;;;;;
TFDIZT;TOTVS API SERVICES PACK 20;SAAS SERIE T;PEDERNEIRAS;PESSOA FISICA (SEM CNAE);EDUCACIONAL;EDUCACAO CONTINUADA;FLUIG - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;0,0;0.0-0.5M;917;0,0;0,0;2;0;3;2;;;;;;;;;
TFDIZY;LICENCA CNPJ VAREJO WT;CDU TOTVS SERIE T;NATAL;Fabricacao de produtos de carne;MANUFATURA;BENS DE CONSUMO;DISTRIBUICAO & VAREJO - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;RN;2171,53;0.0-0.5M;918;0,0;0,0;2;0;3;2;;;;;;;;;
TFDJ02;TOTVS A ELETRONICA 10 PACK;SAAS SERIE T;RIBEIRAOPRETO;Servicos de alimentacao para eventos e recepcoes - bufe;SERVICOS;VIAGENS;SERVICOS - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;71,14;0.0-0.5M;917;1,0;36,46;2;0;3;2;;;;;;;;;
TFDJ61;ADESAO INTERA B.O P;CDU PLATAFORMA TOTVS INTERA SO;BARUERI;Atividades de contabilidade;SERVICOS;BPO;BACKOFFICE - CORE;MODALIDADE ASSINATURA (INTERA);105;00 - Mensal;SP;3755,39;0.0-0.5M;913;0,0;0,0;2;0;3;2;;;;;;;;;
TFDJ68;ADESAO INTERA B.O P;SAAS INTERA SOFTWARE;SAOPAULO;Holdings de instituicoes nao-financeiras;SERVICOS;OUTRAS ATIVIDADES DE SERVIÇOS FINANCEIRO;BACKOFFICE - CORE;MODALIDADE ASSINATURA (INTERA);105;00 - Mensal;SP;24937,0;0.0-0.5M;913;0,0;0,0;2;0;3;2;;;;;;;;;
TFDJ86;CONSINCO MD-E POR CNPJ SUBSC.;SAAS SERIE T;NITEROI;Servicos combinados de escritorio e apoio administrativo;SERVICOS;BPO;SUPERMERCADOS - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RJ;8615,94;0.0-0.5M;869;3,0;4936,68;2;0;3;2;;;;;;;;;
TFDJA1;ADESAO INTERA B.O P;CDU PLATAFORMA TOTVS INTERA SO;JOINVILLE;Organizacao logistica do transporte de carga;LOGISTICA;OPERADOR LOGISTICO;BACKOFFICE - CORE;MODALIDADE ASSINATURA (INTERA);105;00 - Mensal;SC;6932,48;0.0-0.5M;994;0,0;0,0;2;0;3;2;8,0;9,0;8,0;8,0;7,0;8,0;9,0;9,0;8,5
TFDJAH;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SERRA;Comercio atacadista de cosmeticos e produtos de perfumaria;VAREJO;VAREJO;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;ES;35212,61;0.0-0.5M;4402;1,0;2124,8;2;0;3;2;;;;;;;;;
TFDJAJ;COMPRAS;SAAS CMNET HOTAL;CALDASNOVAS;Condominios prediais;CONSTRUCAO E PROJETOS;CONDOMINIO;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;GO;816,99;0.0-0.5M;910;1,0;108,43;2;0;3;2;;;;;;;;;
TFDJB9;LICENCA CNPJ DISTRIBUIDOR WT;CDU TOTVS SERIE T;GUARAPARI;Comercio atacadista de ferragens e ferramentas;VAREJO;MATERIAL DE CONSTRUCAO;DISTRIBUICAO & VAREJO - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;ES;6318,09;0.0-0.5M;909;0,0;0,0;2;0;3;2;8,0;10,0;9,0;9,0;9,0;8,0;10,0;9,0;9,0
TFDJC6;LICENCA CNPJ VAREJO WT;CDU TOTVS SERIE T;SALVADOR;Carga e descarga;LOGISTICA;TRANSPORTADOR;DISTRIBUICAO & VAREJO - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;BA;3939,38;0.0-0.5M;909;0,0;0,0;2;0;3;2;;;;;;;;;
TFDJCP;ADESAO PLAT R&F LOJA;SAAS SERIE T;MARICA;Comercio varejista de cosmeticos, produtos de perfumaria e de higiene pessoal;VAREJO;DROGARIA;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;RJ;710,22;0.0-0.5M;906;0,0;0,0;2;0;3;2;;;;;;;;;
TFDJCY;AHGORA ESTRATEGICO;SAAS SERIE T;SAOPAULO;Transmissao de energia eletrica;SERVICOS;UTILITES;RH - CORE;NAO INFORMADO;105;00 - Mensal;SP;320,98;0.0-0.5M;1171;0,0;0,0;2;0;3;2;;;;;;;;;
TFDJDM;TEF TOTVS CLOUD PDV ADICIONAL;SAAS TEF;SALVADOR;Comercio varejista de suvenires, bijuterias e artesanatos;VAREJO;MODA;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;BA;80,49;0.0-0.5M;905;0,0;0,0;2;0;3;2;;;;;;;;;
TFDJDP;ADESAO INTERA B.O P;SAAS INTERA SOFTWARE;AMAMBAI;Construcao de edificios;CONSTRUCAO E PROJETOS;CONSTRUTORAS;BACKOFFICE - CORE;MODALIDADE ASSINATURA (INTERA);105;00 - Mensal;MS;9824,64;0.0-0.5M;905;0,0;0,0;2;0;3;2;9,0;10,0;9,0;9,0;10,0;7,5;9,0;7,5;9,0
TFDJDS;CONS SETUP HOSPEDAGEM TEF;SAAS SERIE T;SAOPAULO;Servicos combinados de escritorio e apoio administrativo;SERVICOS;BPO;SUPERMERCADOS - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;9896,96;0.0-0.5M;294;1,0;9896,96;2;0;3;2;;;;;;;;;
TFDJDY;TOTVS API SERVICES PACK 20;SAAS SERIE T;POA;PESSOA FISICA (SEM CNAE);EDUCACIONAL;EDUCACAO CONTINUADA;FLUIG - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;0,0;0.0-0.5M;905;0,0;0,0;2;0;3;2;;;;;;;;;
TFDJEB;ADESAO TOTVS PRIVATE;CDU TOTVS SERIE T;MANAUS;Comercio a varejo de automoveis, camionetas e utilitarios novos;VAREJO;CONCESSIONARIA DE VEICULOS;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;AM;20913,45;0.0-0.5M;904;0,0;0,0;2;0;3;2;;;;;;;;;
TFDJF4;ADD-ON WEBSERVICES INTERA;SAAS SERIE T;SALTO;Fabricacao de outros produtos quimicos nao especificados anteriormente;MANUFATURA;QUIMICA & RECICLAGEM;RH - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;44112,73;0.0-0.5M;904;2,0;1136,97;2;0;3;2;;;;;;;;;
TFDJF7;APP MYAUDIT 1º ENCONTRO;CDU TOTVS SERIE T;BRASILIA;Comercio atacadista de produtos alimenticios em geral;DISTRIBUICAO;ATACADISTA E DISTRIBUIDOR;DISTRIBUICAO & VAREJO - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;DF;39950,56;0.0-0.5M;904;0,0;0,0;2;0;3;2;;;;;;;;;
TFDJFE;OP FINANCEIRAS CORPORATE;SAAS SERIE T;ARAGUAINA;Holdings de instituicoes nao-financeiras;SERVICOS;OUTRAS ATIVIDADES DE SERVIÇOS FINANCEIRO;GESPLAN;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;TO;2791,76;0.0-0.5M;883;0,0;0,0;2;0;3;2;;;;;;;;;
TFDJFT;CLOUDINT SETUP CLOUD;CDU PLATAFORMA TOTVS INTERA SO;SAOPAULO;Fabricacao de outros produtos alimenticios nao especificados anteriormente;MANUFATURA;BENS DE CONSUMO;BACKOFFICE - CORE;MODALIDADE ASSINATURA (INTERA);105;00 - Mensal;SP;5753,53;0.0-0.5M;903;0,0;0,0;2;0;3;2;;;;;;;;;
TFDJFZ;CLOUD EXCEDENTE NV INT;SAAS INTERA SOFTWARE;SAOPAULO;Manutencao e reparacao de maquinas e aparelhos de refrigeracao e ventilacao para uso industrial e comercial;MANUFATURA;BENS DE CAPITAL;RH - CORE;MODALIDADE ASSINATURA (INTERA);105;00 - Mensal;SP;20308,91;0.0-0.5M;903;0,0;0,0;2;0;3;2;;;;;;;;;
TFDJGR;ADESAO DEPARTAMENTO PESSOAL;SAAS SERIE T;CHAPECO;PESSOA FISICA (SEM CNAE);EDUCACIONAL;EDUCACAO CONTINUADA;FEEDZ;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SC;439,43;0.0-0.5M;1542;0,0;0,0;2;0;3;2;;;;;;;;;
TFDJGW;IAAS-DSO-50GB-2KIOPS-LEVE-M;CLOUD COMPUTING.;SAOPAULO;Armazens gerais - emissao de warrant;LOGISTICA;OPERADOR LOGISTICO;CLOUD;MODALIDADE SERVICOS RECORRENTES;105;00 - Mensal;SP;42245,99;0.0-0.5M;902;1,0;0,0;2;0;3;2;2,0;0,0;1,0;5,0;9,0;4,0;2,0;0,0;7,0
TFDJHZ;ADESAO MYBI;CDU TOTVS SERIE T;CORDEIROPOLIS;Comercio atacadista de embalagens;DISTRIBUICAO;ATACADISTA E DISTRIBUIDOR;DISTRIBUICAO & VAREJO - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;25424,85;0.0-0.5M;902;0,0;0,0;2;0;3;2;5,0;7,0;7,0;7,0;7,0;0,0;5,0;3,0;5,0
TFDJI0;LICENCA CNPJ DISTRIBUIDOR WT;CDU TOTVS SERIE T;APARECIDADEGOIANIA;Comercio atacadista de instrumentos e materiais para uso medico, cirurgico, hospitalar e de laboratorios;LOGISTICA;ATACADISTA E DISTRIBUIDOR;DISTRIBUICAO & VAREJO - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;GO;123870,7;0.0-0.5M;902;0,0;0,0;2;0;3;2;;;;;;;;;
TFDJI5;SMS USUARIO RETAGUARDA WT;CDU TOTVS SERIE T;VARGINHA;Comercio atacadista de equipamentos de informatica;DISTRIBUICAO;ATACADISTA E DISTRIBUIDOR;DISTRIBUICAO & VAREJO - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;59019,74;0.0-0.5M;902;6,0;32397,03;2;0;3;2;10,0;10,0;10,0;10,0;8,0;5,0;10,0;10,0;10,0
TFDJIH;APP EDUCONNECT 1 -1 K ALUNOS;SAAS SERIE T;BRASILIA;Desenvolvimento e licenciamento de programas de computador customizaveis;EDUCACIONAL;SUPERIOR;EDUCACIONAL - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;DF;127690,97;0.0-0.5M;1753;1,0;1157,62;2;0;3;2;9,0;9,0;9,0;10,0;9,0;5,0;9,0;8,0;10,0
TFDJIK;CLOUD EXCEDENTE TRAD;CDU TOTVS SERIE T;SAOCAETANODOSUL;Comercio varejista de outros produtos nao especificados anteriormente;VAREJO;MAGAZINE E LOJA DE DEPARTAMENTOS;DISTRIBUICAO & VAREJO - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;21708,66;0.0-0.5M;902;0,0;0,0;2;0;3;2;;;;;;;;;
TFDJIP;CDU USUARIO VENDEDOR;CDU TOTVS SERIE T;FORTALEZA;Fabricacao de produtos de limpeza e polimento;MANUFATURA;QUIMICA & RECICLAGEM;DISTRIBUICAO & VAREJO - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;CE;23206,99;0.0-0.5M;902;0,0;0,0;2;0;3;2;;;;;;;;;
TFDJIV;CDU USUARIO VENDEDOR;CDU TOTVS SERIE T;ANANINDEUA;Comercio varejista de materiais de construcao em geral;VAREJO;MATERIAL DE CONSTRUCAO;DISTRIBUICAO & VAREJO - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;PA;30381,95;0.0-0.5M;902;1,0;6841,68;2;0;3;2;10,0;10,0;10,0;10,0;10,0;7,0;10,0;10,0;10,0
TFDJIX;ADESAO INTERA B.O P;CDU PLATAFORMA TOTVS INTERA SO;GUARULHOS;Comercio atacadista de maquinas e equipamentos para uso industrial, partes e pecas;LOGISTICA;ATACADISTA E DISTRIBUIDOR;BACKOFFICE - CORE;MODALIDADE ASSINATURA (INTERA);105;00 - Mensal;SP;2787,88;0.0-0.5M;902;0,0;0,0;2;0;3;2;10,0;10,0;10,0;10,0;10,0;6,0;10,0;5,0;10,0
TFDJJ2;CDU FULL TOTVS TRAD;CLOUD COMPUTING.;GUARATINGUETA;Fabricacao de outros produtos quimicos nao especificados anteriormente;MANUFATURA;QUIMICA & RECICLAGEM;CLOUD;MODALIDADE SERVICOS RECORRENTES;105;00 - Mensal;SP;113727,4;0.0-0.5M;902;1,0;30639,98;2;0;3;2;;;;;;;;;
TFDJJ9;ADESAO INTERA B.O P;CDU PLATAFORMA TOTVS INTERA SO;PORTOALEGRE;Aluguel de outras maquinas e equipamentos comerciais e industriais nao especificados anteriormente, sem operador;SERVICOS;LOCAÇÃO;BACKOFFICE - CORE;MODALIDADE ASSINATURA (INTERA);105;00 - Mensal;RS;13920,82;0.0-0.5M;902;0,0;0,0;2;0;3;2;8,0;6,0;6,0;6,0;7,0;6,0;7,0;7,0;8,0
TFDJJI;SMS USUARIO RETAGUARDA WT;CDU TOTVS SERIE T;SANTAREM;Comercio atacadista de produtos alimenticios em geral;DISTRIBUICAO;ATACADISTA E DISTRIBUIDOR;DISTRIBUICAO & VAREJO - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;PA;43253,37;0.0-0.5M;902;3,0;4058,71;2;0;3;2;;;;;;;;;
TFDJJN;SMS TOTVS TEC USER;CDU TOTVS SERIE T;ANAPOLIS;Gestao e administracao da propriedade imobiliaria*;CONSTRUCAO E PROJETOS;SHOPPING;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;GO;85791,46;0.0-0.5M;5656;0,0;0,0;2;0;3;2;;;;;;;;;
TFDJJQ;ADESAO INTERA B.O P;CDU PLATAFORMA TOTVS INTERA SO;JACAREI;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;CONSTRUCAO E PROJETOS;PROJETOS & SERVICOS ESPECIAIS;BACKOFFICE - CORE;MODALIDADE ASSINATURA (INTERA);105;00 - Mensal;SP;8263,41;0.0-0.5M;902;0,0;0,0;2;0;3;2;;;;;;;;;
TFDJJY;CDU LGT VENDAS E FATURAM TRAD;CDU TOTVS SERIE T;TUPA;Fabricacao de letras, letreiros e placas de qualquer material, exceto luminosos;MANUFATURA;BENS DURAVEIS;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;17338,51;0.0-0.5M;4657;1,0;1975,55;2;0;3;2;;;;;;;;;
TFDJKJ;TOTVS A ELETRONICA 10 PACK;SAAS SERIE T;ITAPETININGA;Atividades de contabilidade;SERVICOS;BPO;SERVICOS - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;104,38;0.0-0.5M;898;1,0;52,2;2;0;3;2;;;;;;;;;
